iter	Passed	Remaining
254	3102	9065
255	3113	9049
256	3123	9029
257	3133	9011
258	3144	8997
259	3156	8984
260	3168	8970
261	3187	8978
262	3211	9000
263	3225	8991
264	3238	8981
265	3251	8971
266	3265	8964
267	3277	8952
268	3289	8938
269	3298	8917
270	3311	8908
271	3322	8892
272	3332	8873
273	3345	8864
274	3358	8855
275	3373	8848
276	3385	8837
277	3398	8825
278	3412	8819
279	3432	8825
280	3452	8832
281	3465	8823
282	3477	8810
283	3490	8800
284	3503	8789
285	3517	8780
286	3530	8771
287	3543	8759
288	3554	8744
289	3567	8734
290	3581	8725
291	3590	8706
292	3602	8691
293	3611	8671
294	3622	8656
295	3633	8641
296	3642	8621
297	3654	8610
298	3665	8594
299	3674	8573
300	3685	8559
301	3697	8544
302	3705	8523
303	3716	8509
304	3725	8489
305	3736	8473
306	3748	8460
307	3757	8441
308	3768	8427
309	3779	8412
310	3788	8393
311	3799	8378
312	3810	8363
313	3819	8344
314	3830	8330
315	3839	8310
316	3850	8296
317	3862	8284
318	3871	8265
319	3882	8251
320	3893	8236
321	3903	8219
322	3915	8206
323	3925	8190
324	3934	8171
325	3946	8159
326	3959	8149
327	3979	8152
328	3992	8142
329	4004	8129
330	4016	8118
331	4029	8108
332	4042	8096
333	4051	8077
334	4062	8063
335	4074	8051
336	4084	8034
337	4095	8021
338	4106	8006
339	4115	7989
340	4126	7974
341	4135	7956
342	4146	7942
343	4159	7931
344	4170	7917
345	4181	7904
346	4194	7893
347	4206	7880
348	4215	7862
349	4226	7848
350	4237	7834
351	4245	7816
352	4257	7803
353	4269	7791
354	4278	7774
355	4291	7762
356	4302	7748
357	4311	7731
358	4322	7718
359	4331	7700
360	4342	7686
361	4353	7672
362	4362	7655
363	4374	7642
364	4384	7628
365	4394	7612
366	4411	7608
367	4422	7594
368	4432	7580
369	4442	7564
370	4453	7550
371	4462	7533
372	4473	7520
373	4485	7507
374	4494	7491
375	4505	7477
376	4515	7462
377	4525	7446
378	4536	7433
379	4548	7420
380	4557	7403
381	4568	7390
382	4577	7374
383	4588	7360
384	4599	7347
385	4609	7332
386	4620	7318
387	4631	7305
388	4640	7288
389	4651	7275
390	4661	7261
391	4670	7244
392	4682	7232
393	4691	7216
394	4703	7204
395	4714	7190
396	4723	7174
397	4734	7161
398	4745	7147
399	4754	7131
400	4765	7118
401	4776	7105
402	4785	7089
403	4800	7081
404	4811	7069
405	4821	7054
406	4832	7040
407	4842	7026
408	4851	7010
409	4862	6997
410	4872	6982
411	4886	6974
412	4913	6983
413	4930	6978
414	4944	6970
415	4959	6961
416	4972	6951
417	4984	6940
418	4998	6931
419	5012	6921
420	5027	6914
421	5045	6910
422	5061	6904
423	5074	6893
424	5088	6884
425	5099	6870
426	5109	6856
427	5123	6847
428	5133	6832
429	5144	6818
430	5153	6804
431	5166	6792
432	5178	6781
433	5189	6767
434	5203	6759
435	5213	6743
436	5224	6730
437	5233	6714
438	5243	6700
439	5254	6687
440	5263	6672
441	5276	6661
442	5287	6648
443	5296	6632
444	5306	6618
445	5315	6602
446	5326	6589
447	5337	6576
448	5347	6561
449	5361	6553
450	5375	6543
451	5391	6536
452	5404	6525
453	5416	6514
454	5429	6502
455	5444	6495
456	5459	6486
457	5471	6474
458	5481	6460
459	5493	6448
460	5502	6433
461	5512	6419
462	5523	6406
463	5534	6393
464	5544	6378
465	5555	6366
466	5567	6353
467	5576	6339
468	5588	6327
469	5598	6313
470	5609	6300
471	5621	6288
472	5632	6275
473	5640	6259
474	5658	6253
475	5669	6240
476	5680	6228
477	5689	6213
478	5702	6202
479	5713	6190
480	5723	6175
481	5733	6162
482	5744	6149
483	5753	6134
484	5765	6121
485	5774	6107
486	5785	6093
487	5794	6079
488	5803	6064
489	5814	6051
490	5824	6037
491	5834	6024
492	5845	6011
493	5854	5996
494	5865	5983
495	5877	5971
496	5887	5959
497	5902	5949
498	5918	5941
499	5930	5930
500	5943	5919
501	5954	5907
502	5967	5896
503	5980	5885
504	5990	5871
505	5999	5857
506	6010	5844
507	6019	5829
508	6031	5818
509	6042	5805
510	6056	5795
511	6068	5783
512	6079	5771
513	6089	5757
514	6098	5742
515	6109	5730
516	6117	5715
517	6128	5702
518	6138	5689
519	6150	5676
520	6164	5667
521	6177	5656
522	6190	5645
523	6204	5635
524	6215	5623
525	6228	5612
526	6244	5604
527	6257	5594
528	6271	5584
529	6283	5572
530	6293	5558
531	6303	5545
532	6313	5531
533	6324	5519
534	6335	5506
535	6343	5491
536	6354	5478
537	6364	5465
538	6374	5452
539	6384	5438
540	6393	5424
541	6404	5411
542	6414	5398
543	6424	5385
544	6435	5372
545	6443	5358
546	6454	5345
547	6471	5337
548	6481	5324
549	6490	5310
550	6500	5297
551	6509	5283
552	6520	5270
553	6529	5256
554	6539	5243
555	6550	5230
556	6559	5217
557	6570	5204
558	6580	5191
559	6589	5177
560	6599	5164
561	6607	5149
562	6618	5137
563	6628	5124
564	6637	5110
565	6647	5097
566	6657	5084
567	6668	5071
568	6677	5057
569	6688	5045
570	6699	5033
571	6708	5019
572	6718	5006
573	6729	4994
574	6737	4980
575	6749	4968
576	6761	4956
577	6769	4942
578	6780	4930
579	6791	4918
580	6801	4905
581	6812	4892
582	6821	4879
583	6832	4867
584	6843	4854
585	6852	4841
586	6863	4828
587	6872	4815
588	6881	4802
589	6891	4788
590	6902	4777
591	6913	4764
592	6928	4755
593	6937	4741
594	6947	4729
595	6958	4716
596	6967	4703
597	6977	4690
598	6986	4677
599	6998	4665
600	7008	4652
601	7017	4639
602	7028	4627
603	7039	4615
604	7048	4601
605	7059	4589
606	7069	4576
607	7078	4563
608	7088	4551
609	7098	4538
610	7115	4530
611	7139	4526
612	7156	4518
613	7167	4506
614	7179	4494
615	7193	4484
616	7206	4473
617	7220	4463
618	7232	4451
619	7245	4440
620	7262	4432
621	7274	4420
622	7287	4409
623	7299	4398
624	7312	4387
625	7323	4375
626	7337	4365
627	7347	4352
628	7358	4340
629	7372	4329
630	7382	4317
631	7391	4303
632	7403	4292
633	7411	4278
634	7424	4267
635	7434	4254
636	7444	4242
637	7454	4229
638	7464	4216
639	7473	4203
640	7483	4191
641	7492	4178
642	7503	4166
643	7514	4153
644	7523	4140
645	7534	4128
646	7545	4116
647	7555	4104
648	7565	4091
649	7574	4078
650	7585	4066
651	7595	4054
652	7605	4041
653	7616	4029
654	7631	4019
655	7641	4006
656	7653	3995
657	7662	3982
658	7671	3969
659	7682	3957
660	7694	3946
661	7703	3933
662	7713	3920
663	7724	3908
664	7734	3896
665	7747	3885
666	7758	3873
667	7767	3860
668	7777	3848
669	7786	3835
670	7798	3823
671	7809	3811
672	7818	3799
673	7833	3788
674	7844	3777
675	7853	3764
676	7866	3752
677	7877	3741
678	7886	3728
679	7897	3716
680	7908	3704
681	7919	3692
682	7930	3680
683	7941	3668
684	7950	3655
685	7959	3643
686	7968	3630
687	7980	3619
688	7991	3607
689	8000	3594
690	8011	3582
691	8022	3570
692	8031	3557
693	8042	3546
694	8052	3533
695	8061	3521
696	8071	3508
697	8081	3496
698	8092	3484
699	8103	3472
700	8113	3460
701	8129	3450
702	8142	3440
703	8154	3428
704	8165	3416
705	8180	3406
706	8194	3396
707	8211	3386
708	8228	3377
709	8247	3368
710	8259	3357
711	8274	3346
712	8290	3337
713	8305	3327
714	8319	3316
715	8329	3303
716	8340	3291
717	8351	3280
718	8360	3267
719	8371	3255
720	8383	3244
721	8394	3232
722	8409	3222
723	8424	3211
724	8439	3201
725	8451	3189
726	8465	3178
727	8479	3168
728	8491	3156
729	8507	3146
730	8518	3134
731	8530	3123
732	8539	3110
733	8549	3098
734	8558	3085
735	8568	3073
736	8579	3061
737	8588	3049
738	8600	3037
739	8610	3025
740	8621	3013
741	8632	3001
742	8640	2988
743	8650	2976
744	8660	2964
745	8669	2951
746	8679	2939
747	8695	2929
748	8705	2917
749	8716	2905
750	8726	2893
751	8736	2881
752	8746	2868
753	8756	2856
754	8766	2844
755	8777	2833
756	8786	2820
757	8797	2808
758	8807	2796
759	8816	2784
760	8827	2772
761	8838	2760
762	8847	2748
763	8857	2736
764	8866	2723
765	8877	2712
766	8888	2700
767	8898	2688
768	8908	2676
769	8919	2664
770	8931	2652
771	8940	2640
772	8952	2629
773	8962	2617
774	8976	2605
775	8988	2594
776	8999	2582
777	9015	2572
778	9028	2561
779	9044	2550
780	9057	2539
781	9066	2527
782	9077	2515
783	9091	2504
784	9104	2493
785	9114	2481
786	9124	2469
787	9134	2457
788	9143	2445
789	9152	2433
790	9163	2421
791	9174	2409
792	9185	2397
793	9194	2385
794	9205	2373
795	9215	2361
796	9225	2349
797	9235	2337
798	9244	2325
799	9255	2313
800	9266	2302
801	9275	2289
802	9286	2278
803	9295	2266
804	9306	2254
805	9320	2243
806	9334	2232
807	9352	2222
808	9367	2211
809	9381	2200
810	9393	2189
811	9407	2178
812	9421	2167
813	9433	2155
814	9445	2144
815	9458	2132
816	9475	2122
817	9496	2112
818	9507	2101
819	9521	2090
820	9532	2078
821	9546	2067
822	9556	2055
823	9568	2043
824	9578	2031
825	9588	2019
826	9598	2007
827	9608	1996
828	9619	1984
829	9629	1972
830	9639	1960
831	9649	1948
832	9660	1936
833	9669	1924
834	9680	1912
835	9690	1900
836	9700	1889
837	9711	1877
838	9720	1865
839	9730	1853
840	9740	1841
841	9749	1829
842	9760	1817
843	9769	1805
844	9781	1794
845	9793	1782
846	9803	1770
847	9813	1759
848	9823	1747
849	9832	1735
850	9843	1723
851	9851	1711
852	9861	1699
853	9872	1687
854	9881	1675
855	9892	1664
856	9907	1653
857	9917	1641
858	9927	1629
859	9937	1617
860	9946	1605
861	9957	1594
862	9966	1582
863	9977	1570
864	9988	1558
865	9996	1546
866	10008	1535
867	10018	1523
868	10029	1511
869	10039	1500
870	10049	1488
871	10059	1476
872	10069	1464
873	10078	1452
874	10090	1441
875	10102	1430
876	10112	1418
877	10122	1406
878	10130	1394
879	10140	1382
880	10151	1371
881	10160	1359
882	10171	1347
883	10180	1335
884	10190	1324
885	10202	1312
886	10210	1300
887	10223	1289
888	10236	1278
889	10250	1266
890	10261	1255
891	10274	1243
892	10284	1232
893	10294	1220
894	10309	1209
895	10320	1197
896	10332	1186
897	10347	1175
898	10358	1163
899	10371	1152
900	10384	1140
901	10401	1130
902	10418	1119
903	10431	1107
904	10446	1096
905	10462	1085
906	10474	1074
907	10488	1062
908	10502	1051
909	10514	1039
910	10523	1028
911	10534	1016
912	10544	1004
913	10555	993
914	10566	981
915	10576	969
916	10585	958
917	10596	946
918	10605	934
919	10614	923
920	10623	911
921	10633	899
922	10644	887
923	10652	876
924	10664	864
925	10675	853
926	10683	841
927	10694	829
928	10703	818
929	10717	806
930	10728	795
931	10736	783
932	10747	771
933	10758	760
934	10767	748
935	10779	737
936	10791	725
937	10800	713
938	10809	702
939	10819	690
940	10830	679
941	10841	667
942	10850	655
943	10861	644
944	10873	632
945	10882	621
946	10894	609
947	10904	598
948	10914	586
949	10925	575
950	10935	563
951	10945	551
952	10956	540
953	10964	528
954	10975	517
955	10985	505
956	10996	494
957	11006	482
958	11015	470
959	11025	459
960	11036	447
961	11044	436
962	11056	424
963	11066	413
964	11077	401
965	11088	390
966	11098	378
967	11117	367
968	11126	355
969	11137	344
970	11146	332
971	11157	321
972	11168	309
973	11177	298
974	11189	286
975	11199	275
976	11208	263
977	11217	252
978	11227	240
979	11237	229
980	11249	217
981	11258	206
982	11269	194
983	11278	183
984	11289	171
985	11298	160
986	11308	148
987	11319	137
988	11330	126
989	11339	114
990	11349	103
991	11359	91
992	11370	80
993	11380	68
994	11389	57
995	11399	45
996	11410	34
997	11419	22
998	11429	11
999	11439	0
